State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,service_calls_bin,day_charge_per_min,day_min_per_call,day_charge_per_call,eve_charge_per_min,eve_min_per_call,eve_charge_per_call,night_charge_per_min,night_min_per_call,night_charge_per_call,total_minutes,total_calls,total_charge,total_charge_per_min,total_min_per_call,total_charge_per_call,day_minutes_ratio,day_charge_ratio,day_minutes_group,cs_calls_group,cs_bin,day_min_bin,account_bin,intl_bin,charge_bin
IA,168,408,No,No,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,0-1,0.1700310559006211,1.3416666666666668,0.228125,0.08503336510962821,1.4774647887323944,0.1256338028169014,0.04500354358610914,1.10234375,0.049609375,386.0,297,40.190000000000005,0.10411917098445597,1.2996632996632997,0.13531986531986534,0.333678756476684,0.5449116695695445,Low Day Minutes,High CS Calls,0-1,Q1 (-0-143 min),Q4 (127-243 days),Q3 (10-12 min),Q1 (23-52$)
MT,95,510,No,No,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,2-4,0.1699872286079183,1.7795454545454545,0.3025,0.08501615508885299,3.3013333333333335,0.2806666666666667,0.04498179927197088,1.6721739130434783,0.07521739130434783,608.8,283,59.64,0.09796320630749016,2.151236749116608,0.21074204946996467,0.25722733245729307,0.44634473507712946,Low Day Minutes,High CS Calls,2-3,Q2 (143-180 min),Q2 (73-100 days),Q4 (12-20 min),Q3 (59-67$)
IA,62,415,No,No,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,2-4,0.1700082850041425,1.7242857142857144,0.29314285714285715,0.08499348958333333,4.042105263157895,0.3435526315789474,0.045024630541871925,2.0505050505050506,0.09232323232323233,644.0,251,59.309999999999995,0.09209627329192546,2.5657370517928286,0.23629482071713145,0.18742236024844722,0.34597875569044007,Low Day Minutes,High CS Calls,4-5,Q1 (-0-143 min),Q1 (1-73 days),Q4 (12-20 min),Q2 (52-59$)
ID,85,408,No,Yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,0-1,0.170010183299389,1.41294964028777,0.2402158273381295,0.0850124599501602,3.121111111111111,0.2653333333333333,0.04501679731243001,1.1906666666666665,0.053599999999999995,580.3999999999999,308,65.02,0.11202618883528603,1.8844155844155839,0.2111038961038961,0.33838731909028263,0.5135342971393417,High Day Minutes,High CS Calls,0-1,Q3 (180-216 min),Q2 (73-100 days),Q4 (12-20 min),Q3 (59-67$)
VT,93,510,No,No,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,2-4,0.1700052438384898,1.6728070175438596,0.28438596491228074,0.08501374885426215,1.9657657657657657,0.16711711711711713,0.04498456790123457,1.071074380165289,0.04818181818181818,546.6,349,58.989999999999995,0.10792169776802048,1.566189111747851,0.16902578796561604,0.3488840102451518,0.5495846753687066,High Day Minutes,High CS Calls,2-3,Q3 (180-216 min),Q2 (73-100 days),Q1 (-0-8 min),Q2 (52-59$)
VA,76,510,No,Yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,0-1,0.17000527148128625,2.874242424242424,0.48863636363636365,0.08500939849624059,3.273846153846154,0.2783076923076923,0.04502112251056126,1.5342592592592592,0.06907407407407408,578.2,244,60.50000000000001,0.10463507436873054,2.3696721311475413,0.24795081967213117,0.3280871670702179,0.5330578512396693,High Day Minutes,High CS Calls,0-1,Q3 (180-216 min),Q2 (73-100 days),Q2 (8-10 min),Q3 (59-67$)
TX,73,415,No,No,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,0-1,0.17000891265597146,2.493333333333333,0.42388888888888887,0.08501567398119123,1.8125,0.15409090909090908,0.0450207468879668,2.6054054054054054,0.11729729729729729,589.7,254,63.9,0.1083601831439715,2.321653543307087,0.2515748031496063,0.3805324741393929,0.5970266040688575,High Day Minutes,High CS Calls,0-1,Q4 (216-351 min),Q1 (1-73 days),Q4 (12-20 min),Q3 (59-67$)
FL,147,415,No,No,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,0-1,0.1700193423597679,1.3256410256410256,0.2253846153846154,0.08498122653316646,2.5774193548387094,0.21903225806451615,0.045019157088122604,1.5699248120300753,0.07067669172932331,614.1999999999999,347,59.0,0.09605991533702378,1.7700288184438038,0.17002881844380405,0.2525236079452947,0.4469491525423729,Low Day Minutes,Low CS Calls,0-1,Q2 (143-180 min),Q4 (127-243 days),Q3 (10-12 min),Q2 (52-59$)
CO,77,408,No,No,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,5+,0.1700320512820513,0.701123595505618,0.1192134831460674,0.08499117127722189,1.4041322314049587,0.11933884297520661,0.044990458015267173,3.275,0.14734375,447.59999999999997,280,36.019999999999996,0.08047363717605004,1.5985714285714285,0.12864285714285714,0.13941018766756033,0.29455857856746254,Low Day Minutes,High CS Calls,4-5,Q1 (-0-143 min),Q2 (73-100 days),Q1 (-0-8 min),Q1 (23-52$)
AZ,130,415,No,No,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,0-1,0.16999999999999998,1.6339285714285714,0.2777678571428571,0.0850480109739369,0.7363636363636364,0.06262626262626263,0.04499449944994499,2.330769230769231,0.10487179487179486,447.20000000000005,308,48.06,0.10746869409660106,1.451948051948052,0.15603896103896103,0.40921288014311263,0.6473158551810236,High Day Minutes,Low CS Calls,0-1,Q3 (180-216 min),Q4 (127-243 days),Q2 (8-10 min),Q1 (23-52$)
VA,132,510,No,No,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,0-1,0.17003699136868064,0.9430232558139534,0.16034883720930232,0.08499184339314846,3.4055555555555554,0.28944444444444445,0.0450210970464135,2.0608695652173914,0.09278260869565218,573.5999999999999,275,48.08,0.08382147838214785,2.0858181818181816,0.17483636363636362,0.14138772663877266,0.28681364392678865,Low Day Minutes,Low CS Calls,0-1,Q1 (-0-143 min),Q4 (127-243 days),Q3 (10-12 min),Q1 (23-52$)
NE,174,415,No,No,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,2-4,0.16999195494770716,1.6355263157894737,0.2780263157894737,0.08498736918080114,2.474107142857143,0.21026785714285715,0.044994016753091344,2.1799999999999997,0.09808695652173913,667.6,308,60.15,0.09009886159376872,2.1675324675324674,0.1952922077922078,0.18618933493109646,0.3512884455527847,Low Day Minutes,High CS Calls,2-3,Q1 (-0-143 min),Q4 (127-243 days),Q4 (12-20 min),Q3 (59-67$)
WY,57,408,No,Yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,0-1,0.17,1.8521739130434782,0.3148695652173913,0.08498168498168497,1.70625,0.145,0.04499178981937603,1.5886956521739128,0.07147826086956523,596.3,345,63.24,0.10605399966459837,1.728405797101449,0.18330434782608696,0.3572027502934765,0.5725806451612904,High Day Minutes,Low CS Calls,0-1,Q3 (180-216 min),Q1 (1-73 days),Q2 (8-10 min),Q3 (59-67$)
MT,54,408,No,No,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,2-4,0.16999255398361873,1.8397260273972604,0.31273972602739725,0.08501607717041801,1.555,0.1322,0.04495592556317336,1.5014705882352941,0.0675,406.59999999999997,245,44.61,0.10971470732907035,1.6595918367346938,0.1820816326530612,0.3303000491883916,0.511768661735037,Low Day Minutes,High CS Calls,2-3,Q1 (-0-143 min),Q1 (1-73 days),Q4 (12-20 min),Q1 (23-52$)
MO,20,415,No,No,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,0-1,0.16999999999999998,1.7431192660550459,0.2963302752293578,0.08501161890007745,3.0738095238095235,0.2613095238095238,0.04501377410468319,1.7794117647058822,0.08009803921568627,636.0,301,64.12,0.1008176100628931,2.1129568106312293,0.2130232558139535,0.29874213836477986,0.5037429819089206,High Day Minutes,Low CS Calls,0-1,Q3 (180-216 min),Q1 (1-73 days),Q1 (-0-8 min),Q3 (59-67$)
IL,142,415,No,No,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,2-4,0.17004716981132076,0.8926315789473684,0.15178947368421053,0.08500365764447695,2.1698412698412697,0.18444444444444444,0.04499001996007984,1.6925675675675675,0.07614864864864865,486.2,312,41.14,0.08461538461538462,1.5583333333333333,0.13185897435897437,0.174413821472645,0.3505104521147302,Low Day Minutes,High CS Calls,2-3,Q1 (-0-143 min),Q4 (127-243 days),Q4 (12-20 min),Q1 (23-52$)
NH,75,510,No,No,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,0-1,0.17001326846528084,2.1533333333333333,0.3660952380952381,0.08501240694789082,1.8831775700934579,0.16009345794392524,0.04500406173842405,2.5122448979591834,0.11306122448979591,684.0999999999999,315,69.42999999999999,0.1014910100862447,2.1717460317460313,0.2204126984126984,0.3305072357842421,0.5536511594411638,High Day Minutes,High CS Calls,0-1,Q4 (216-351 min),Q2 (73-100 days),Q3 (10-12 min),Q4 (67-96$)
LA,172,408,No,No,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,2-4,0.16999999999999998,1.7520661157024793,0.2978512396694215,0.08493589743589744,0.271304347826087,0.023043478260869565,0.04500511421752471,3.76025641025641,0.1692307692307692,549.1,324,55.29,0.10069204152249134,1.694753086419753,0.17064814814814813,0.3860863230741213,0.6518357750045216,High Day Minutes,High CS Calls,2-3,Q3 (180-216 min),Q4 (127-243 days),Q4 (12-20 min),Q2 (52-59$)
AZ,12,408,No,No,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,0-1,0.1699919871794872,2.1152542372881356,0.3595762711864407,0.08498415213946117,2.1210084033613446,0.18025210084033613,0.045003568879371875,3.1133333333333333,0.1401111111111111,794.0,330,79.67999999999999,0.10035264483627203,2.4060606060606062,0.24145454545454542,0.31435768261964736,0.5325050200803213,High Day Minutes,High CS Calls,0-1,Q4 (216-351 min),Q1 (1-73 days),Q3 (10-12 min),Q4 (67-96$)
OK,57,408,No,Yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,0-1,0.17002262443438912,1.8808510638297873,0.31978723404255316,0.08502564102564102,2.6,0.22106666666666663,0.045011709601873534,1.8405172413793103,0.0828448275862069,593.5999999999999,289,58.49,0.09853436657681942,2.0539792387543248,0.20238754325259517,0.29784366576819415,0.5139340058129594,Low Day Minutes,Low CS Calls,0-1,Q2 (143-180 min),Q1 (1-73 days),Q1 (-0-8 min),Q2 (52-59$)
GA,72,415,No,Yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,2-4,0.16999999999999998,2.75,0.46749999999999997,0.0849976990335941,2.130392156862745,0.181078431372549,0.0450261780104712,2.1521126760563383,0.09690140845070422,604.8000000000001,259,66.72,0.1103174603174603,2.3351351351351353,0.2576061776061776,0.3637566137566137,0.5605515587529976,High Day Minutes,High CS Calls,2-3,Q4 (216-351 min),Q1 (1-73 days),Q4 (12-20 min),Q4 (67-96$)
MA,78,415,No,No,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,0-1,0.17003058103975532,2.04375,0.3475,0.08497988377291016,1.928448275862069,0.1638793103448276,0.04499561018437225,2.109259259259259,0.09490740740740741,592.3,293,54.2,0.091507681917947,2.0215017064846417,0.18498293515358363,0.22083403680567285,0.41033210332103315,Low Day Minutes,High CS Calls,0-1,Q1 (-0-143 min),Q2 (73-100 days),Q2 (8-10 min),Q2 (52-59$)
AK,136,415,Yes,Yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,2-4,0.16998528690534573,1.9235849056603773,0.3269811320754717,0.08502132196162047,1.894949494949495,0.1611111111111111,0.04503441494591937,0.9504672897196262,0.04280373831775701,503.7,318,58.03,0.1152074647607703,1.5839622641509434,0.18248427672955975,0.40480444709152275,0.597277270377391,High Day Minutes,High CS Calls,2-3,Q3 (180-216 min),Q4 (127-243 days),Q3 (10-12 min),Q2 (52-59$)
NJ,149,408,No,No,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,0-1,0.170014245014245,1.4936170212765958,0.253936170212766,0.08498896247240618,2.9543478260869565,0.2510869565217391,0.04498141263940521,1.7435185185185187,0.07842592592592593,611.6,303,58.44,0.09555264879005886,2.0184818481848184,0.19287128712871288,0.22956180510137345,0.40845311430527037,Low Day Minutes,High CS Calls,0-1,Q1 (-0-143 min),Q4 (127-243 days),Q3 (10-12 min),Q2 (52-59$)
GA,98,408,No,No,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,2-4,0.16999208234362628,1.238235294117647,0.21049019607843136,0.08501199040767385,1.9623529411764706,0.1668235294117647,0.04499467518636847,1.3911111111111112,0.06259259259259259,490.3,324,46.63999999999999,0.09512543340811747,1.5132716049382717,0.1439506172839506,0.25759738935345705,0.4603344768439108,Low Day Minutes,High CS Calls,2-3,Q1 (-0-143 min),Q2 (73-100 days),Q2 (8-10 min),Q1 (23-52$)
MD,135,408,Yes,Yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,0-1,0.17001733102253033,2.0364705882352943,0.34623529411764703,0.08499264345267286,1.905607476635514,0.16196261682242988,0.045008183306055646,1.5666666666666667,0.07051282051282051,513.8,285,56.199999999999996,0.10938108213312574,1.8028070175438595,0.19719298245614034,0.3369015181004282,0.5236654804270463,Low Day Minutes,Low CS Calls,0-1,Q2 (143-180 min),Q4 (127-243 days),Q4 (12-20 min),Q2 (52-59$)
AR,34,510,No,No,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,2-4,0.1700320512820513,1.5219512195121951,0.25878048780487806,0.08501063075832742,2.8795918367346935,0.24479591836734693,0.045008025682182984,3.9935897435897436,0.17974358974358973,728.5,262,61.92999999999999,0.08501029512697322,2.780534351145038,0.23637404580152668,0.17131091283459163,0.34264492168577426,Low Day Minutes,High CS Calls,2-3,Q1 (-0-143 min),Q1 (1-73 days),Q2 (8-10 min),Q3 (59-67$)
ID,160,415,No,No,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,2-4,0.17004662004662005,1.1142857142857143,0.18948051948051947,0.08499697519661222,1.502727272727273,0.12772727272727274,0.0449859943977591,1.940217391304348,0.08728260869565217,438.8,283,39.15,0.08922060164083864,1.550530035335689,0.138339222614841,0.19553327256153144,0.37266922094508304,Low Day Minutes,High CS Calls,2-3,Q1 (-0-143 min),Q4 (127-243 days),Q2 (8-10 min),Q1 (23-52$)
WI,64,510,No,No,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,0-1,0.16999999999999998,2.298507462686567,0.3907462686567164,0.08498671390611161,1.9135593220338984,0.16262711864406781,0.04500565397663023,3.084883720930233,0.13883720930232557,648.6,274,58.260000000000005,0.08982423681776133,2.367153284671533,0.2126277372262774,0.23743447425223557,0.449364915894267,Low Day Minutes,High CS Calls,0-1,Q2 (143-180 min),Q1 (1-73 days),Q1 (-0-8 min),Q2 (52-59$)
OR,59,408,No,Yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,2-4,0.16997518610421836,1.2463917525773196,0.21185567010309278,0.08502347417840375,2.3152173913043477,0.19684782608695653,0.045003065603923975,1.4060344827586206,0.06327586206896552,505.5,310,48.3,0.09554896142433233,1.6306451612903226,0.1558064516129032,0.23916913946587537,0.4254658385093168,Low Day Minutes,High CS Calls,2-3,Q1 (-0-143 min),Q1 (1-73 days),Q1 (-0-8 min),Q1 (23-52$)
DE,142,408,No,No,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,2-4,0.16999999999999998,1.406015037593985,0.23902255639097744,0.0849925705794948,1.8189189189189188,0.1545945945945946,0.045004128819157725,1.9070866141732283,0.08582677165354331,571.1999999999999,339,56.129999999999995,0.09826680672268907,1.6849557522123892,0.16557522123893803,0.32738095238095244,0.5663637983253162,High Day Minutes,High CS Calls,2-3,Q3 (180-216 min),Q4 (127-243 days),Q1 (-0-8 min),Q2 (52-59$)
WY,97,415,No,Yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,0-1,0.16996996996997,0.9866666666666666,0.16770370370370372,0.08499079189686926,3.7448275862068963,0.3182758620689655,0.04504249291784703,0.8936708860759492,0.040253164556962026,432.0,275,47.25,0.109375,1.5709090909090908,0.17181818181818181,0.3083333333333333,0.47915343915343916,Low Day Minutes,High CS Calls,0-1,Q1 (-0-143 min),Q2 (73-100 days),Q3 (10-12 min),Q1 (23-52$)
IA,52,408,No,No,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,2-4,0.16998436685773838,1.776851851851852,0.302037037037037,0.08498888065233506,2.810416666666667,0.23885416666666667,0.04501689189189189,2.72183908045977,0.12252873563218392,706.3,296,68.32,0.09672943508424182,2.3861486486486485,0.23081081081081078,0.271697578932465,0.4774590163934426,High Day Minutes,High CS Calls,2-3,Q3 (180-216 min),Q1 (1-73 days),Q1 (-0-8 min),Q4 (67-96$)
IN,60,408,No,No,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,0-1,0.16999093381686312,3.8701754385964913,0.6578947368421053,0.08498342018000948,1.8356521739130434,0.156,0.04502008032128514,1.930232558139535,0.08689922480620156,687.5,304,68.49000000000001,0.0996218181818182,2.2615131578947367,0.22529605263157898,0.32087272727272725,0.5475251861585633,High Day Minutes,High CS Calls,0-1,Q4 (216-351 min),Q1 (1-73 days),Q1 (-0-8 min),Q4 (67-96$)
UT,96,415,No,No,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,2-4,0.16997503121098628,1.369230769230769,0.23273504273504275,0.08500934579439252,3.9925373134328357,0.33940298507462685,0.0449890590809628,3.360294117647059,0.15117647058823527,665.5,257,62.76,0.09430503380916604,2.5894941634241246,0.24420233463035018,0.2407212622088655,0.43387507966857874,Low Day Minutes,High CS Calls,2-3,Q2 (143-180 min),Q2 (73-100 days),Q2 (8-10 min),Q3 (59-67$)
WY,87,415,No,No,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,5+,0.17,1.819277108433735,0.30927710843373496,0.08497951752389624,1.8939655172413792,0.16094827586206897,0.04502206964198136,1.6055118110236222,0.07228346456692913,584.3000000000001,329,56.14,0.09608078042101659,1.775987841945289,0.17063829787234042,0.258428889269211,0.4572497328108301,Low Day Minutes,High CS Calls,4-5,Q2 (143-180 min),Q2 (73-100 days),Q2 (8-10 min),Q2 (52-59$)
IN,81,408,No,No,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,0-1,0.17002849002849002,2.6194029850746268,0.44537313432835823,0.08499799438427598,2.9329411764705884,0.24929411764705883,0.04500370096225019,2.757142857142857,0.12408163265306123,705.2,253,65.94,0.09350538854225751,2.787351778656127,0.26063241106719365,0.24886557005104934,0.45253260539884743,Low Day Minutes,High CS Calls,0-1,Q2 (143-180 min),Q2 (73-100 days),Q2 (8-10 min),Q3 (59-67$)
CO,141,415,No,No,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,0-1,0.16997635933806146,1.2948979591836736,0.22010204081632653,0.085,2.903225806451613,0.24677419354838712,0.045028409090909084,1.1,0.04953125,455.7,290,45.370000000000005,0.09956111476848806,1.5713793103448275,0.15644827586206897,0.2784726793943384,0.4754242891778708,Low Day Minutes,High CS Calls,0-1,Q1 (-0-143 min),Q4 (127-243 days),Q1 (-0-8 min),Q1 (23-52$)
CO,121,408,No,Yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,2-4,0.17001008064516127,1.537984496124031,0.26147286821705423,0.08499335989375831,0.9779220779220779,0.08311688311688312,0.04497792494481237,2.353246753246753,0.10584415584415585,460.7,286,49.849999999999994,0.10820490557846754,1.6108391608391608,0.17430069930069927,0.4306490123724767,0.6766298896690071,High Day Minutes,High CS Calls,2-3,Q3 (180-216 min),Q3 (100-127 days),Q1 (-0-8 min),Q1 (23-52$)
OK,125,408,No,No,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,0-1,0.16999563890100303,2.2262135922330097,0.37844660194174756,0.08500563697857948,1.407936507936508,0.11968253968253968,0.04500792393026941,1.9926315789473685,0.08968421052631578,608.0,332,65.82,0.10825657894736841,1.8313253012048192,0.19825301204819276,0.37713815789473687,0.5922212093588575,High Day Minutes,High CS Calls,0-1,Q4 (216-351 min),Q3 (100-127 days),Q3 (10-12 min),Q3 (59-67$)
ID,174,408,No,No,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,0-1,0.1700156168662155,1.9804123711340205,0.33670103092783504,0.08499117127722189,1.8074468085106383,0.15361702127659574,0.045018007202881155,3.085185185185185,0.1388888888888889,540.0,249,57.67999999999999,0.1068148148148148,2.1686746987951806,0.2316465863453815,0.35574074074074075,0.5662274618585298,High Day Minutes,High CS Calls,0-1,Q3 (180-216 min),Q4 (127-243 days),Q3 (10-12 min),Q2 (52-59$)
