State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,total_minutes,total_calls,total_charge,day_charge_per_min,day_min_per_call,day_charge_per_call,eve_charge_per_min,eve_min_per_call,eve_charge_per_call,night_charge_per_min,night_min_per_call,night_charge_per_call,total_charge_per_min,total_min_per_call,total_charge_per_call,day_minutes_ratio,day_charge_ratio,predicted_proba,predicted_label
MN,74,510,No,Yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,592.4,282,64.0,0.17000516262261228,2.1285714285714286,0.3618681318681319,0.08500609508329948,2.5635416666666666,0.21791666666666668,0.045,1.5,0.0675,0.10803511141120865,2.100709219858156,0.22695035460992907,0.32697501688048614,0.51453125,0.03797809212479766,0
HI,85,415,No,No,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,593.2,305,65.16,0.17001696352841392,2.163302752293578,0.3677981651376147,0.08498727735368956,1.6723404255319148,0.14212765957446807,0.045005313496280556,1.9010101010101008,0.08555555555555557,0.10984490896830747,1.9449180327868854,0.21363934426229508,0.39750505731625085,0.615254757519951,0.043509650709497194,0
MN,46,415,No,No,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,564.2,292,60.57,0.170014012143858,2.973611111111111,0.5055555555555555,0.08497566909975669,1.580769230769231,0.1343269230769231,0.04501408450704225,1.5707964601769913,0.07070796460176991,0.10735554767812831,1.932191780821918,0.20743150684931508,0.37947536334633103,0.6009575697540036,0.029375258751798004,0
VT,128,510,No,Yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,736.8000000000001,275,66.53999999999999,0.16999442275515894,1.7240384615384616,0.29307692307692307,0.0849933598937583,2.6267441860465115,0.22325581395348837,0.04501547987616099,4.141025641025641,0.1864102564102564,0.09030944625407164,2.6792727272727275,0.24196363636363633,0.24334961997828447,0.4580703336339045,0.004602915933918906,0
LA,155,415,No,No,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,599.1999999999999,327,62.03,0.17000983284169124,2.0340000000000003,0.3458,0.08501833420639078,1.8355769230769232,0.15605769230769231,0.045,1.6470588235294117,0.07411764705882354,0.10352136181575436,1.8324159021406725,0.1896941896024465,0.33945260347129513,0.5574721908753828,0.02665906042820188,0
MT,73,415,No,No,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,560.5,258,56.68999999999999,0.17001873828856964,1.4554545454545453,0.24745454545454545,0.08499765588373183,2.9625000000000004,0.25180555555555556,0.04497415278575532,2.4180555555555556,0.10875,0.10114183764495983,2.1724806201550386,0.2197286821705426,0.2856378233719893,0.48015523019932976,0.03390494724022728,0
ID,77,415,No,No,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,742.5,314,75.32000000000001,0.17001588562351072,3.4972222222222222,0.5945833333333334,0.08497812348079728,1.6325396825396825,0.13873015873015873,0.04498546511627907,2.5247706422018346,0.11357798165137616,0.10144107744107746,2.3646496815286624,0.2398726114649682,0.33912457912457916,0.5683749336165693,0.5129834032148284,1
MA,108,415,No,No,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,511.0,320,56.129999999999995,0.16999439147504206,1.3014598540145985,0.22124087591240876,0.08502645502645503,2.486842105263158,0.21144736842105263,0.04500387296669248,1.2656862745098039,0.056960784313725484,0.10984344422700586,1.596875,0.17540624999999999,0.3489236790606654,0.539996436843043,0.014280593066286698,0
KY,95,408,No,No,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,576.4000000000001,316,52.980000000000004,0.16999999999999998,1.3636363636363635,0.2318181818181818,0.08502178649237473,1.732075471698113,0.14726415094339623,0.04500611496127191,2.4049019607843136,0.10823529411764705,0.09191533657182512,1.8240506329113928,0.16765822784810128,0.2342123525329632,0.43318233295583236,0.02270976112017857,0
MI,36,510,No,Yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,679.8,297,75.88000000000001,0.17000710732054017,2.7588235294117647,0.4690196078431373,0.08501483679525224,2.6605263157894736,0.2261842105263158,0.04497863247863248,1.6566371681415928,0.07451327433628319,0.11162106501912329,2.2888888888888888,0.25548821548821554,0.4139452780229479,0.6304691618344754,0.05017220010038744,0
CO,141,415,No,Yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,509.20000000000005,331,49.0,0.16998654104979813,1.632967032967033,0.2775824175824176,0.08497330282227308,1.3515463917525772,0.11484536082474227,0.04498632634457611,1.5450704225352112,0.06950704225352113,0.09622937941869598,1.5383685800604232,0.14803625377643503,0.2918303220738413,0.5155102040816327,0.01613409651643697,0
AZ,63,415,No,No,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,449.29999999999995,275,36.48,0.1699490662139219,0.4712,0.08008,0.08502358490566038,2.8745762711864407,0.24440677966101695,0.04498580889309366,2.4022727272727273,0.10806818181818181,0.08119296683730247,1.6338181818181816,0.13265454545454544,0.13109281103939463,0.27439692982456143,0.025249604218827028,0
ID,97,408,No,No,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,606.6000000000001,322,67.83,0.17001668056713928,1.9184,0.32616,0.08500931098696463,1.9351351351351351,0.16450450450450452,0.04501046755059316,1.769135802469136,0.07962962962962963,0.11181998021760631,1.8838509316770191,0.21065217391304347,0.3953181668315199,0.6010614772224679,0.03545371524755167,0
CA,75,408,No,No,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,587.3000000000001,296,54.919999999999995,0.16999398677089594,1.3304,0.22616,0.08501896333754741,1.83953488372093,0.1563953488372093,0.04499415660303857,3.2087499999999998,0.144375,0.09351268516941935,1.9841216216216218,0.18554054054054053,0.2831602247573642,0.514748725418791,0.02506614924625261,0
WA,127,408,No,No,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,567.3000000000001,282,55.09,0.17000681663258352,1.612087912087912,0.2740659340659341,0.08501228501228501,2.608974358974359,0.2217948717948718,0.04498525073746313,1.8490909090909091,0.08318181818181819,0.09710911334390974,2.0117021276595746,0.19535460992907802,0.2585933368588048,0.45271374115084406,0.03165333845308273,0
LA,121,408,No,No,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,570.0,327,58.989999999999995,0.17002754820936639,1.5,0.2550413223140496,0.08498168498168497,2.2285714285714286,0.1893877551020408,0.044987623762376236,1.5689320388349515,0.07058252427184465,0.10349122807017543,1.7431192660550459,0.18039755351681955,0.31842105263157894,0.5231395151720631,0.023261870663840275,0
NE,117,415,No,No,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,618.6,322,51.239999999999995,0.17003891050583658,0.8638655462184873,0.14689075630252102,0.08500241896468312,2.2714285714285714,0.1930769230769231,0.04501672240802676,2.8476190476190477,0.1281904761904762,0.08283220174587777,1.9211180124223604,0.1591304347826087,0.16618170061429033,0.3411397345823576,0.01986810048821591,0
OH,65,408,No,No,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,580.3,325,57.60000000000001,0.16998403406067056,1.6198275862068967,0.27534482758620693,0.0850253807106599,1.3470085470085469,0.11452991452991454,0.04500659920809503,2.6430232558139535,0.11895348837209303,0.0992590039634672,1.7855384615384613,0.17723076923076925,0.3237980354988799,0.5545138888888889,0.02084150616080436,0
MO,6,510,No,No,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,629.1,270,63.82,0.16998910675381265,1.5692307692307692,0.26675213675213677,0.08500194779898715,3.5652777777777778,0.3030555555555556,0.04501679731243001,2.260759493670886,0.10177215189873416,0.10144651088857097,2.33,0.23637037037037037,0.2918454935622317,0.48903165151989975,0.01906646741915828,0
AL,32,510,No,No,0,230.9,87,39.25,187.4,90,15.93,154.0,53,6.93,6.3,2,1.7,0,False,578.5999999999999,232,63.81,0.16998700736249459,2.6540229885057474,0.4511494252873563,0.08500533617929562,2.082222222222222,0.177,0.045,2.9056603773584904,0.13075471698113206,0.11028344279294852,2.493965517241379,0.27504310344827587,0.3990667127549258,0.6151073499451496,0.026836229189502223,0
NH,64,408,No,Yes,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False,527.1,280,55.650000000000006,0.1700164744645799,2.001098901098901,0.3402197802197802,0.08497348261638185,1.7316326530612243,0.14714285714285713,0.044990892531876145,1.9151162790697673,0.08616279069767442,0.10557768924302789,1.8825,0.19875,0.3454752418895845,0.5563342318059299,0.02190344793161179,0
NM,25,415,No,No,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False,610.2,278,53.2,0.16999161777032692,1.3712643678160918,0.23310344827586207,0.08501182033096927,2.094059405940594,0.178019801980198,0.04499814057270361,3.1267441860465115,0.14069767441860465,0.08718452966240577,2.1949640287769787,0.19136690647482016,0.19550966896099636,0.381203007518797,0.022523340416854033,0
OR,65,415,No,No,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False,492.20000000000005,332,47.09,0.17003424657534247,1.3425287356321838,0.22827586206896552,0.08501956400223588,1.9236559139784948,0.1635483870967742,0.0450109649122807,1.216,0.05473333333333334,0.09567249085737504,1.482530120481928,0.14183734939759038,0.23730190979276714,0.4217455935442769,0.01803690767678411,0
MI,127,415,No,No,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False,638.2,305,65.75,0.17001484413656606,1.962135922330097,0.33359223300970875,0.08500435919790758,2.667441860465116,0.22674418604651161,0.044979508196721314,1.727433628318584,0.07769911504424779,0.10302413036665621,2.092459016393443,0.2155737704918033,0.3166718896897524,0.5225855513307984,0.05080462153226984,0
AZ,93,415,No,No,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False,589.1999999999999,303,72.09,0.1699926362297496,3.8253521126760566,0.6502816901408451,0.08500435919790758,2.1240740740740742,0.18055555555555555,0.04501940491591203,0.6388429752066116,0.028760330578512395,0.12235234215885948,1.9445544554455443,0.23792079207920794,0.4609640190088256,0.6404494382022472,0.1938637900319392,0
TX,208,510,No,No,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True,695.2,288,81.57000000000001,0.17001531393568145,4.873134328358209,0.8285074626865672,0.08502552467385138,1.5601769911504426,0.13265486725663717,0.04501926252063842,1.7813725490196077,0.08019607843137255,0.1173331415420023,2.413888888888889,0.2832291666666667,0.4696490218642117,0.6805197989456907,0.9577206248373619,1
IN,122,415,No,No,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False,521.2,262,60.370000000000005,0.17001640689089417,2.4877551020408166,0.4229591836734694,0.08498212157330154,1.1652777777777779,0.09902777777777777,0.0449944382647386,2.1404761904761904,0.0963095238095238,0.11582885648503453,1.9893129770992368,0.2304198473282443,0.4677666922486569,0.6865993042902103,0.011164632896625016,0
LA,99,415,No,No,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False,596.5,289,65.82,0.17001244296972212,3.348611111111111,0.5693055555555556,0.08502570694087404,1.5877551020408163,0.135,0.045005313496280556,1.7266055045871558,0.07770642201834863,0.1103436714165968,2.06401384083045,0.2277508650519031,0.4041911148365465,0.6227590398055304,0.020538071711941396,0
MS,65,415,No,No,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,False,633.6,314,57.44,0.17002204261572373,1.2151785714285714,0.20660714285714285,0.08501282521069989,2.842708333333333,0.24166666666666667,0.04500454132606722,2.1173076923076923,0.09528846153846154,0.09065656565656564,2.0178343949044586,0.18292993630573248,0.2148042929292929,0.40285515320334264,0.011152594776389621,0
IN,65,415,No,No,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,False,700.7,332,68.19000000000001,0.17000937207122774,1.9225225225225226,0.32684684684684684,0.08498933901918976,2.49468085106383,0.21202127659574468,0.04498200719712115,2.033333333333333,0.09146341463414634,0.09731696874554019,2.110542168674699,0.20539156626506028,0.304552590266876,0.5320428215280832,0.03400129968815596,0
KY,45,415,No,Yes,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,False,684.9999999999999,287,70.6,0.16998982706002036,2.3404761904761906,0.39785714285714285,0.08499361430395914,3.404347826086956,0.2893478260869565,0.045009185548071026,1.512037037037037,0.06805555555555555,0.10306569343065694,2.386759581881533,0.245993031358885,0.287007299270073,0.4733711048158641,0.01677648715328153,0
MN,139,510,No,No,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True,549.5000000000001,331,52.27,0.17001488095238096,1.267924528301887,0.21556603773584906,0.08499763369616659,2.156122448979592,0.18326530612244898,0.04498966942148761,1.5488,0.06968,0.09512283894449498,1.6601208459214505,0.1579154078549849,0.24458598726114647,0.4371532427778841,0.9474110594812845,1
WY,215,510,No,No,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False,441.8,358,37.58,0.16997607655502395,0.5648648648648649,0.09601351351351352,0.08502894954507857,1.3285714285714287,0.11296703296703296,0.04501323918799647,2.06,0.09272727272727273,0.08506111362607514,1.2340782122905027,0.10497206703910614,0.1892258940697148,0.3781266631186802,0.010795273105815305,0
AZ,94,408,No,No,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False,639.3000000000001,282,61.66,0.17002200220022,2.138823529411765,0.36364705882352943,0.08498023715415019,2.0653061224489795,0.17551020408163265,0.045018300122000816,2.5350515463917525,0.11412371134020619,0.09644924135773501,2.2670212765957447,0.21865248226950354,0.28437353355232287,0.5012974375608175,0.05405100715787195,0
NM,119,510,No,Yes,23,154.0,114,26.18,278.0,137,23.63,228.4,112,10.28,11.8,4,3.19,2,False,672.1999999999999,367,63.28,0.16999999999999998,1.3508771929824561,0.22964912280701755,0.08499999999999999,2.0291970802919708,0.1724817518248175,0.04500875656742556,2.039285714285714,0.09178571428571428,0.09413864921154419,1.8316076294277928,0.172425068119891,0.22909848259446597,0.413716814159292,0.019783970605675067,0
MI,86,510,No,Yes,41,119.0,101,20.23,230.0,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False,595.4,296,53.01,0.17,1.1782178217821782,0.2002970297029703,0.085,1.7164179104477613,0.1458955223880597,0.044997889404812155,4.084482758620689,0.18379310344827587,0.08903258313738663,2.0114864864864863,0.17908783783783783,0.19986563654685927,0.3816261082814564,0.024093893408835738,0
FL,106,408,No,Yes,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,False,569.6,313,58.199999999999996,0.16998191681735986,1.3166666666666667,0.2238095238095238,0.08498845265588914,2.327956989247312,0.1978494623655914,0.045002888503755056,2.0127906976744185,0.0905813953488372,0.10217696629213482,1.8198083067092652,0.18594249201277954,0.2912570224719101,0.4845360824742268,0.5022270601226754,1
KS,92,408,Yes,No,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True,475.29999999999995,319,38.78,0.16996805111821087,0.563963963963964,0.09585585585585586,0.08499446290143965,1.4333333333333333,0.12182539682539682,0.04501578709968426,2.7712499999999998,0.12475,0.08159057437407954,1.4899686520376174,0.12156739811912226,0.1317062907637282,0.2743682310469314,0.9279244606289738,1
SC,78,510,No,No,0,168.3,110,28.61,221.2,73,18.8,241.0,136,10.85,12.5,1,3.38,1,False,643.0,320,61.64,0.16999405822935232,1.53,0.2600909090909091,0.08499095840867993,3.0301369863013696,0.25753424657534246,0.045020746887966805,1.7720588235294117,0.07977941176470588,0.09586314152410576,2.009375,0.192625,0.26174183514774496,0.4641466580142764,0.04846816018725741,0
NC,155,408,No,No,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,False,611.8,259,69.97999999999999,0.17000762195121952,4.7709090909090905,0.8110909090909091,0.08499486125385405,1.7221238938053096,0.14637168141592918,0.04498293515358362,1.723529411764706,0.07752941176470587,0.1143837855508336,2.362162162162162,0.2701930501930502,0.428898332788493,0.6374678479565591,0.14155518624793542,0
MO,64,510,No,Yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,False,382.5,298,35.480000000000004,0.17002118644067796,0.9076923076923078,0.15432692307692308,0.08502202643171806,1.3485148514851484,0.11465346534653466,0.044979647218453184,1.6561797752808989,0.07449438202247191,0.09275816993464053,1.2835570469798658,0.11906040268456378,0.24679738562091505,0.4523675310033822,0.01741556338500213,0
WA,83,415,No,No,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,False,585.5,311,65.5,0.17000903342366758,2.1495145631067962,0.3654368932038835,0.08498705780845556,2.250485436893204,0.1912621359223301,0.044979591836734695,1.225,0.055099999999999996,0.11187019641332195,1.882636655948553,0.21061093247588425,0.37813834329632795,0.5746564885496184,0.044846654827967326,0
SD,144,408,No,Yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True,533.9000000000001,271,54.160000000000004,0.17002107481559536,1.9770833333333335,0.33614583333333337,0.08500810372771475,1.8417910447761194,0.1565671641791045,0.045004668534080305,2.020754716981132,0.0909433962264151,0.1014422176437535,1.9701107011070114,0.19985239852398526,0.3554972841356059,0.5958271787296898,0.017790469484047906,0
MT,143,415,No,No,0,172.3,97,29.29,174.0,108,14.79,188.2,119,8.47,13.0,4,3.51,2,False,547.5,328,56.059999999999995,0.16999419616947184,1.7762886597938146,0.30195876288659795,0.08499999999999999,1.6111111111111112,0.13694444444444442,0.045005313496280556,1.5815126050420167,0.0711764705882353,0.10239269406392693,1.6692073170731707,0.17091463414634145,0.314703196347032,0.5224759186585801,0.028676436823702845,0
MN,81,415,No,No,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,False,613.0,278,63.17,0.17001008064516127,2.1333333333333333,0.36268817204301074,0.08501659554291133,1.9527777777777777,0.1660185185185185,0.04500775995861355,2.722535211267606,0.12253521126760562,0.10305057096247962,2.2050359712230216,0.22723021582733813,0.3236541598694943,0.5339559917682444,0.023532291533971142,0
SD,145,408,No,Yes,24,147.5,90,25.08,175.7,108,14.93,252.1,102,11.34,15.6,3,4.21,2,False,590.9,303,55.559999999999995,0.17003389830508472,1.6388888888888888,0.2786666666666667,0.08497438816163916,1.6268518518518518,0.13824074074074075,0.0449821499404998,2.4715686274509805,0.1111764705882353,0.09402606193941444,1.9501650165016502,0.18336633663366336,0.2496192249111525,0.4514038876889849,0.0373917098746418,0
OK,89,510,No,No,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True,882.1999999999999,301,89.31,0.16999012833168806,3.1989473684210523,0.5437894736842105,0.0850134151015715,2.28859649122807,0.19456140350877194,0.0449855815443768,3.506741573033708,0.15775280898876404,0.10123554749489913,2.930897009966777,0.2967109634551495,0.34447970981636816,0.5784346657709103,0.9918914234013293,1
CT,199,415,No,Yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0,False,757.3,316,73.48,0.16999132697311364,1.905785123966942,0.3239669421487604,0.08500455788514129,2.216161616161616,0.18838383838383838,0.04500501169395256,3.1840425531914893,0.14329787234042554,0.0970289185263436,2.396518987341772,0.23253164556962028,0.3045028390334082,0.5334784975503538,0.017324976567767207,0
CT,96,415,No,Yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True,519.1999999999999,300,52.07,0.170005790387956,1.856989247311828,0.3156989247311828,0.08501248959200668,1.035344827586207,0.08801724137931036,0.04497917630726516,2.5127906976744185,0.11302325581395349,0.100288906009245,1.7306666666666664,0.17356666666666667,0.3326271186440678,0.5638563472248895,0.953306100769898,1
MN,94,415,No,No,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,False,675.6999999999999,305,62.58,0.17002754820936639,1.8520408163265305,0.31489795918367347,0.08499249624812405,2.271590909090909,0.1930681818181818,0.045012165450121655,2.5236842105263158,0.11359649122807017,0.09261506585762913,2.2154098360655734,0.20518032786885246,0.268610330028119,0.49312879514221797,0.032532274304109224,0
FL,127,415,No,No,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,True,744.5000000000001,395,78.74000000000001,0.16999249812453113,2.5150943396226415,0.42754716981132074,0.08500755287009064,1.5761904761904764,0.13398809523809524,0.044980694980694985,1.741176470588235,0.07831932773109244,0.1057622565480188,1.8848101265822788,0.19934177215189874,0.3580926796507723,0.5755651511303022,0.933957120279217,1
RI,121,408,No,No,0,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,True,829.1,266,75.14999999999999,0.17001173708920186,1.5777777777777777,0.2682407407407407,0.0849928673323823,5.154411764705882,0.4380882352941176,0.04501683501683502,3.413793103448276,0.15367816091954023,0.09064045350379929,3.1169172932330826,0.28251879699248117,0.20552406223615968,0.3854956753160346,0.33145129346509494,0
IN,122,408,No,No,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,True,656.5,298,77.76,0.1700067476383266,2.9939393939393937,0.508989898989899,0.08500931098696463,2.4134831460674158,0.20516853932584272,0.0450336071695295,1.2514018691588786,0.05635514018691589,0.11844630616907846,2.203020134228188,0.26093959731543626,0.45148514851485144,0.6480195473251028,0.5424206793025872,1
AL,121,408,No,Yes,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,False,486.69999999999993,210,41.42,0.1700145560407569,0.7231578947368421,0.12294736842105262,0.08499043977055451,3.0318840579710145,0.25768115942028985,0.044984802431610946,4.7,0.21142857142857144,0.08510376001643724,2.3176190476190475,0.19723809523809524,0.14115471543045,0.281989377112506,0.012185571807467733,0
OR,77,510,No,No,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,False,720.6,305,74.02,0.17001710863986313,2.248076923076923,0.38221153846153844,0.0849906191369606,2.8351063829787235,0.2409574468085106,0.044992947813822286,2.0451923076923078,0.09201923076923077,0.10271995559256175,2.3626229508196723,0.24268852459016393,0.3244518456841521,0.5370170224263713,0.6729106975189615,1
MS,64,408,Yes,No,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,True,662.1,261,71.02,0.1699830651989839,3.0675324675324673,0.5214285714285715,0.08499542543458372,2.571764705882353,0.21858823529411764,0.04497681607418857,2.0010309278350515,0.09000000000000001,0.10726476363087147,2.5367816091954025,0.2721072796934866,0.35674369430599606,0.5653337088144185,0.8692547748136105,1
